External Tags;Name;group
Sochi2.GT.AM.20CFA10CE001-AM.Q;АКТИВ МОЩНОСТЬ;0
Sochi2.GT.AM.20MBL30CM005-AM.Q;Влажность ОКР В;0
Sochi2.GT.AM.20MBL30CT005-AM.Q;Температура ОКР В;0
Sochi2.GT.AM.20MBT10CP005-AM.Q;P НА ВХ КОМПР;0
Sochi2.GT.AM.20MBT10CT005-AM.Q;Т НА ВХ КОМПР ДАТЧ1;0
Sochi2.GT.AM.20MKA10CT015-AM.Q;Т ОХЛ ВЗД ГЕН (ГТ);0
Sochi2.UNIT.AM.20CJA01CT001-AM.Q;Т ГАЗ НА ВЫХ ГТУ;0
Sochi2.UNIT.AM.20MKA10CE803-AM.Q;N ПТУ;0
Sochi2.GT.AM.20MKA10CE001A-AM.Q;НАПРЯЖ ГЕНЕР;1
Sochi2.GT.AM.20MKA10CE012A-AM.Q;ТОК СТАТОРА ф A;1
Sochi2.GT.AM.20MKA10CE022A-AM.Q;ТОК СТАТОРА ф B;1
Sochi2.GT.AM.20MKA10CE032A-AM.Q;ТОК СТАТОРА ф C;1
Sochi2.GT.AM.20MKA10CT005G-AM.Q;Т ПОДШ ГЕН 1 (РЕД);1
Sochi2.GT.AM.20MKA10CT010G-AM.Q;Т ПОДШ ГЕН 1 (ВОЗБ);1
Sochi2.GT.AM.20MKA10CT020-AM.Q;Т ТЕПЛ ВОЗД ГЕН;1
Sochi2.GT.AM.20MKA10CT030-AM.Q;Т ФАЗЫ А СТАТ ГЕН;1
Sochi2.GT.AM.20MKA10CT035-AM.Q;Т ФАЗЫ B СТАТ ГЕН;1
Sochi2.GT.AM.20MKA10CT040-AM.Q;Т ФАЗЫ C СТАТ ГЕН;1
Sochi2.GT.AM.20MKA10CY005-AM.Q;ВИБР ПОДШ 1 ГЕНЕР;1
Sochi2.GT.AM.20MKA10CY010-AM.Q;ВИБР ПОДШ 2 ГЕНЕР;1
Sochi2.GT.AM.20SAE10CP005-AM.Q;dP ВЕНТ ОТСЕК ГЕНЕР;1
Sochi2.GT.AM.20SAE30CP015-AM.Q;dP НА ВХОД ФЛТР ГЕНЕР;1
Sochi2.GT.AM.20SAG10CP005-AM.Q;dP ОТСЕК ГГ-МАШЗАЛ;1
Sochi2.GT.AM.20SAG10CP010-AM.Q;dP ВЕНТ ОТСЕК ГГ;1
Sochi2.GT.AI.20MBB10FT901-ZE01.PV;Т7 сред;2
Sochi2.GT.AI.20MBB10FT902-ZE01.PV;Т7 макс;2
Sochi2.GT.AI.20MBB10FT902-ZE02.PV;Т7 мин;2
Sochi2.GT.AM.20MBH10CT005-AM.Q;Т УПЛ ВОЗД;2
Sochi2.GT.AM.20MBL20CP015-AM.Q;dP КВОУ;2
Sochi2.GT.AM.20MBL30CP015-AM.Q;dP В ВЫПУСКН КАМ;2
Sochi2.GT.AM.20MBT10AA005-POSITION.Q;УП АПК 1;2
Sochi2.GT.AM.20MBT10AA010-POSITION.Q;УП АПК 2;2
Sochi2.GT.AM.20MBT10AE005-POSITION.Q;УП ВНА;2
Sochi2.GT.AM.20MBT10CP010-AM.Q;dP НА ВХ КОМПР;2
Sochi2.GT.AM.20MBT10CP015-AM.Q;P НАГНЕТ КОМПР ДАТЧ1;2
Sochi2.GT.AM.20MBT10CP020-AM.Q;P НАГНЕТ КОМПР ДАТЧ2;2
Sochi2.GT.AM.20MBT10CP025-AM.Q;P НАГНЕТ КОМПР ДАТЧ3;2
Sochi2.GT.AM.20MBT10CT030-AM.Q;Т НАГНЕТ КОМПР ДАТЧ1;2
Sochi2.GT.AM.20MBT10CT035-AM.Q;Т НАГНЕТ КОМПР ДАТЧ2;2
Sochi2.GT.AM.20MBT10CT040-AM.Q;Т НАГНЕТ КОМПР ДАТЧ3;2
Sochi2.GT.AM.20MBB10CG005-AM.Q;ОСЕВОЙ СДВИГ СТ;3
Sochi2.GT.AM.20MBB10CT085-AM.Q;Т ОПОРН ПОДШ 3;3
Sochi2.GT.AM.20MBB10CT095-AM.Q;Т УПОРН ПОДШ 4;3
Sochi2.GT.AM.20MBB10CT105-AM.Q;Т ОПОРН ПОДШ 4;3
Sochi2.GT.AM.20MBB10CY005-AM.Q;ВИБР ПОДШ 3(ОПОРН);3
Sochi2.GT.AM.20MBB10CY010-AM.Q;ВИБР ПОДШ 4(ОПОР-УП);3
Sochi2.GT.AM.20MBT10CG005-AM.Q;ОСЕВОЙ СДВИГ ГГ;3
Sochi2.GT.AM.20MBT10CT010-AM.Q;Т УП ПОДШ 1;3
Sochi2.GT.AM.20MBT10CT020-AM.Q;Т ОП ПОДШ 1;3
Sochi2.GT.AM.20MBT10CT045-AM.Q;Т ПОДШ 2;3
Sochi2.GT.AM.20MBT10CY005-AM.Q;ВИБР ПОДШ 1(ОПОР-УП);3
Sochi2.GT.AM.20MBT10CY005B-AM.Q;ВИБР ПОДШ 1B;3
Sochi2.GT.AM.20MBT10CY010-AM.Q;НАПРЯЖ ГЕНЕР;3
Sochi2.GT.AM.20MBV40CT005-AM.Q;Т ПОДАВ СМАЗ МАСЛ ДАТЧ 1;3
Sochi2.GT.AM.20MBV40CT015-AM.Q;Т ПОДАВ СМАЗ МАСЛ ДАТЧ 2;3
